Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000031081 1054 1249 1108 844 1099 830
ENSG00000031691 439 323 359 259 380 283
ENSG00000031698 5658 5908 4989 3663 5858 4659
ENSG00000031823 2151 2792 2009 2096 2598 2209
ENSG00000032219 705 648 521 637 1027 654
ENSG00000032389 768 792 673 762 711 704
ENSG00000032444 2782 3480 2698 2470 2374 2273
ENSG00000032742 483 376 360 282 379 267
ENSG00000033011 1491 1375 1248 1328 1480 1296
ENSG00000033030 609 613 612 643 735 597
ENSG00000033050 2825 2914 2522 3299 3057 2678
ENSG00000033100 7952 9189 7373 9812 10518 9489
ENSG00000033122 0 0 0 0 0 0
ENSG00000033170 2391 2191 2098 2757 2592 2012
ENSG00000033178 2378 1931 1994 4317 4581 3079
ENSG00000033327 675 742 591 545 580 498
ENSG00000033627 1647 1844 1408 1152 1899 1360
ENSG00000033800 1186 1072 1168 1433 1868 1368
ENSG00000033867 1218 1220 1024 2156 1788 1158
ENSG00000034053 343 388 317 613 368 288
ENSG00000034152 3465 4385 3310 4041 3672 3087
ENSG00000034239 2 6 13 5 8 0
ENSG00000034510 32013 36612 30181 35958 47676 41632
ENSG00000034533 267 273 274 177 289 238
ENSG00000034677 1047 914 809 1132 1468 1117
ENSG00000034693 436 440 417 438 572 456
ENSG00000034713 2359 2371 2012 2098 2150 1835
ENSG00000034971 8 0 3 5 4 0
ENSG00000035115 572 577 458 358 528 388
ENSG00000035141 1179 1126 976 1204 1165 859
ENSG00000035403 28204 30030 25699 19382 30012 22816
ENSG00000035499 96 103 85 34 54 51
ENSG00000035664 727 724 591 1033 1237 999
ENSG00000035681 2424 2363 2033 1680 2643 1930
ENSG00000035687 1282 1169 1021 1613 1503 1216
ENSG00000035720 0 0 0 0 0 0
ENSG00000035862 60351 70754 52498 41047 71216 54705
ENSG00000035928 1889 1849 1612 1711 2324 1747
ENSG00000036054 1872 1456 1493 2331 3080 2316
ENSG00000036257 2269 2112 1950 2220 2656 1920
ENSG00000036448 55 51 37 37 69 61
ENSG00000036473 0 0 0 0 0 0
ENSG00000036530 22 25 22 4 11 7
ENSG00000036549 1698 1560 1438 2172 2561 1894
ENSG00000036565 0 0 0 0 0 0
ENSG00000036672 19 25 25 5 29 15
ENSG00000036828 0 0 0 0 0 0
ENSG00000037042 812 1038 770 615 784 647
ENSG00000037241 660 692 693 494 648 552
ENSG00000037280 4 1 6 5 5 3
ENSG00000037474 2231 2335 1920 2970 2585 2220
ENSG00000037637 881 948 789 931 963 738
ENSG00000037749 750 644 636 872 1018 771
ENSG00000037757 973 1171 887 858 913 719
ENSG00000037897 465 484 379 536 569 426
ENSG00000037965 44 38 40 18 41 25
ENSG00000038002 1020 973 887 985 1354 940
ENSG00000038210 422 675 433 1068 1188 1002
ENSG00000038219 1961 1896 1702 2168 2570 1892
ENSG00000038274 1678 1664 1469 2351 2954 2216
ENSG00000038295 4 4 3 0 1 0
